inventory_date,operator_id,operator_name,product_item_id,product_description,product_list_price,product_inventory_price,product_inventory_quantity
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14738,"Bailys Licor",643.00,643.00,4.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14739,Campari,726.83,726.83,2.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14740,"Clamato (1/24)",520.00,520.00,1.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14741,Cointreau,1007.00,1007.00,1.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14743,"Granadina  Bartender",144.07,144.07,0.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14744,Kalua,665.25,665.25,0.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14749,"Anis Del Mono (Rojo)",482.95,482.95,8.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14750,"Anis Del Mono (Azul)",185.30,185.30,4.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14753,Frangelico,826.83,826.83,0.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14754,"Grand Marnier",1336.21,1336.21,0.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14759,"Amaro Averna",958.00,958.00,4.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14760,"Cachaça Sagativa",776.83,776.83,0.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14763,Aperol,655.67,655.67,1.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14765,"Cinzano Blanco",430.83,430.83,0.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14766,"Cinzano Extra Dry",439.33,439.33,0.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14767,"Cinzano Rosso",430.83,430.83,0.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14771,"BL Martin Codax",631.83,631.83,0.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14773,"BL Vialdero",673.55,673.55,0.00
2018-02-28,55,"TRULUCK ENTERPRISE SRL",14774,"BL Torres Viñas Esmeralda",449.05,449.05,0.00
