"operator_name","operator_id","invoice_id","issued_date","quantity","price"
"ESCUELA DE CALIDAD MORRISON SRL",12,21206,"2018-02-28",1,10000
"ESCUELA DE CALIDAD MORRISON SRL",12,21209,"2018-02-28",1,10000
"ESCUELA DE CALIDAD MORRISON SRL",12,21177,"2018-02-26",1,1000
"ESCUELA DE CALIDAD MORRISON SRL",12,21178,"2018-02-26",1,1000
"ESCUELA DE CALIDAD MORRISON SRL",12,21157,"2018-02-26",1,10000
"ESCUELA DE CALIDAD MORRISON SRL",12,21176,"2018-02-26",1,1000
"ESCUELA DE CALIDAD MORRISON SRL",12,21118,"2018-02-24",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21093,"2018-02-23",2,20000
"ESCUELA DE CALIDAD MORRISON SRL",12,21112,"2018-02-23",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21112,"2018-02-23",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21065,"2018-02-22",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21058,"2018-02-22",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21062,"2018-02-22",1,20000
"ESCUELA DE CALIDAD MORRISON SRL",12,21056,"2018-02-22",1,20000
"ESCUELA DE CALIDAD MORRISON SRL",12,21067,"2018-02-22",1,3000
"ESCUELA DE CALIDAD MORRISON SRL",12,21059,"2018-02-22",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21063,"2018-02-22",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21056,"2018-02-22",1,1000
"ESCUELA DE CALIDAD MORRISON SRL",12,21076,"2018-02-22",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21060,"2018-02-22",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21080,"2018-02-22",1,20000
"ESCUELA DE CALIDAD MORRISON SRL",12,21064,"2018-02-22",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21057,"2018-02-22",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21061,"2018-02-22",1,2500
"ESCUELA DE CALIDAD MORRISON SRL",12,21055,"2018-02-22",1,10000
"ESCUELA DE CALIDAD MORRISON SRL",12,21052,"2018-02-21",1,3000
"ESCUELA DE CALIDAD MORRISON SRL",12,21032,"2018-02-21",1,20000
"ESCUELA DE CALIDAD MORRISON SRL",12,21053,"2018-02-21",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21050,"2018-02-21",1,20000
"ESCUELA DE CALIDAD MORRISON SRL",12,21054,"2018-02-21",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21051,"2018-02-21",1,5000
"ESCUELA DE CALIDAD MORRISON SRL",12,21030,"2018-02-21",1,20000
"ESCUELA DE CALIDAD MORRISON SRL",12,21027,"2018-02-20",1,20000
"PiBi Cloud SRL",51,20996,"2018-02-20",1,30016.63
"ESCUELA DE CALIDAD MORRISON SRL",12,21020,"2018-02-20",1,20000
"PiBi Cloud SRL",51,21029,"2018-02-20",5,100
"ESCUELA DE CALIDAD MORRISON SRL",12,21026,"2018-02-20",1,20000
